card_ID;check_in;loc1;check_out;loc2;Routes
card_9025;2024-09-16 06:15:47.199432;N_3;2024-09-16 06:40:47.199432;N_4;\16002
card_6642;2024-08-30 12:15:47.201849;N_5;2024-08-30 12:34:47.201849;N_3;\16002
card_2709;2024-09-04 03:15:47.204173;N_2;2024-09-04 03:46:47.204173;N_3;\16002
card_8868;2024-08-29 23:15:47.206394;N_2;2024-08-29 23:26:47.206394;N_5;\16002
card_2821;2024-08-20 20:15:47.208577;N_3;2024-08-20 20:51:47.208577;N_2;\16002
card_2981;2024-08-31 13:15:47.211027;N_5;2024-08-31 13:57:47.211027;N_1;\16002
card_3830;2024-09-04 19:15:47.213257;N_4;2024-09-04 19:58:47.213257;N_5;\16002
card_8084;2024-09-05 23:15:47.215570;N_1;2024-09-05 23:32:47.215570;N_2;\16002
card_7307;2024-09-11 03:15:47.217695;N_2;2024-09-11 04:06:47.217695;N_3;\16002
card_7275;2024-09-02 12:15:47.219997;N_3;2024-09-02 12:53:47.219997;N_5;\16002
card_5115;2024-09-11 10:15:47.222234;N_3;2024-09-11 11:15:47.222234;N_2;\16002
card_6786;2024-09-04 02:15:47.224414;N_5;2024-09-04 03:00:47.224414;N_3;\16002
card_6673;2024-09-08 13:15:47.226679;N_4;2024-09-08 14:12:47.226679;N_3;\16002
card_3440;2024-09-11 09:15:47.228859;N_3;2024-09-11 09:38:47.228859;N_1;\16002
card_1640;2024-09-04 00:15:47.231287;N_3;2024-09-04 00:52:47.231287;N_1;\16002
card_6797;2024-09-08 20:15:47.233481;N_5;2024-09-08 20:45:47.233481;N_1;\16002
card_3256;2024-08-23 12:15:47.235755;N_4;2024-08-23 12:52:47.235755;N_3;\16002
card_7661;2024-09-09 07:15:47.238067;N_5;2024-09-09 08:07:47.238067;N_2;\16002
card_8425;2024-09-08 03:15:47.240365;N_3;2024-09-08 03:31:47.240365;N_4;\16002
card_6719;2024-09-08 12:15:47.242730;N_1;2024-09-08 12:30:47.242730;N_2;\16002
card_9231;2024-09-08 11:15:47.244916;N_3;2024-09-08 11:49:47.244916;N_5;\16002
card_1148;2024-09-09 10:15:47.247237;N_4;2024-09-09 11:14:47.247237;N_1;\16002
card_7225;2024-09-02 00:15:47.249437;N_3;2024-09-02 01:13:47.249437;N_4;\16002
card_1857;2024-09-13 00:15:47.251644;N_4;2024-09-13 01:04:47.251644;N_1;\16002
card_8897;2024-08-17 13:15:47.254146;N_5;2024-08-17 13:57:47.254146;N_3;\16002
card_3125;2024-08-17 14:15:47.256367;N_3;2024-08-17 15:00:47.256367;N_4;\16002
card_1403;2024-08-23 10:15:47.258707;N_1;2024-08-23 10:53:47.258707;N_4;\16002
card_8795;2024-08-20 00:15:47.260994;N_1;2024-08-20 00:59:47.260994;N_3;\16002
card_9733;2024-08-28 08:15:47.263404;N_1;2024-08-28 08:51:47.263404;N_5;\16002
card_1160;2024-08-20 22:15:47.265590;N_5;2024-08-20 22:29:47.265590;N_2;\16002
card_3811;2024-09-04 20:15:47.267767;N_5;2024-09-04 21:14:47.267767;N_2;\16002
card_1111;2024-09-01 05:15:47.270122;N_4;2024-09-01 05:42:47.270122;N_3;\16002
card_3322;2024-09-01 18:15:47.272346;N_5;2024-09-01 18:49:47.272346;N_3;\16002
card_3404;2024-09-10 02:15:47.274643;N_5;2024-09-10 03:02:47.274643;N_1;\16002
card_8536;2024-08-26 12:15:47.276858;N_3;2024-08-26 13:00:47.276858;N_5;\16002
card_3289;2024-09-05 18:15:47.279146;N_1;2024-09-05 18:47:47.279146;N_4;\16002
card_6497;2024-08-22 09:15:47.281307;N_1;2024-08-22 09:34:47.281307;N_5;\16002
card_1333;2024-09-02 19:15:47.283697;N_4;2024-09-02 19:29:47.283697;N_2;\16002
card_4997;2024-09-15 03:15:47.285925;N_2;2024-09-15 03:41:47.285925;N_3;\16002
card_6111;2024-09-14 21:15:47.288072;N_2;2024-09-14 22:15:47.288072;N_4;\16002
card_9728;2024-08-25 04:15:47.290435;N_1;2024-08-25 04:29:47.290435;N_2;\16002
